99.0,5.98,37.0,6.11,4.8,4.0,34.0,92.0,43.333333333333336,7.246376811594203,1.0
17.0,7.76,70.0,7.31,6.49,3.0,44.0,60.0,35.666666666666664,4.596219931271477,0.0
17.0,1.03,64.0,4.58,2.31,2.0,31.0,58.0,30.333333333333332,29.449838187702262,1.0
15.0,2.52,30.0,2.34,3.76,2.0,49.0,75.0,42.0,16.666666666666668,1.0
14.0,4.23,21.0,3.78,1.44,3.0,36.0,80.0,39.666666666666664,9.377462568951929,1.0
14.0,7.48,23.0,5.46,5.9,1.0,48.0,91.0,46.666666666666664,6.23885918003565,1.0
16.0,3.83,49.0,6.98,3.29,1.0,48.0,83.0,44.0,11.488250652741515,1.0
15.0,7.33,59.0,2.88,1.84,4.0,45.0,52.0,33.666666666666664,4.592996816734879,1.0
14.0,7.37,23.0,7.65,4.88,4.0,31.0,73.0,36.0,4.884667571234735,1.0
17.0,4.2,34.0,3.22,2.23,2.0,36.0,92.0,43.333333333333336,10.317460317460318,1.0
16.0,6.24,56.0,3.61,2.58,2.0,40.0,90.0,44.0,7.051282051282051,1.0
17.0,2.73,32.0,6.56,2.61,3.0,48.0,50.0,33.666666666666664,12.332112332112331,1.0
17.0,6.34,53.0,5.88,3.11,4.0,34.0,47.0,28.333333333333332,4.468980021030494,1.0
16.0,6.65,22.0,1.18,3.43,1.0,35.0,93.0,43.0,6.466165413533834,1.0
17.0,7.79,39.0,6.89,5.98,2.0,45.0,56.0,34.333333333333336,4.407359863072315,1.0
17.0,6.53,25.0,6.88,7.73,1.0,34.0,68.0,34.333333333333336,5.257784583971414,1.0
17.0,5.35,75.0,1.07,1.57,1.0,37.0,48.0,28.666666666666668,5.358255451713396,0.0
17.0,1.35,40.0,6.65,7.05,3.0,35.0,93.0,43.666666666666664,32.34567901234568,1.0
15.0,5.19,26.0,1.73,6.01,2.0,39.0,57.0,32.666666666666664,6.294155427103403,1.0
14.0,2.81,64.0,5.64,2.45,2.0,30.0,86.0,39.333333333333336,13.997627520759194,1.0
