16.00,5.98,37.00,6.11,4.80,4.00,34.00,92.00
17.00,7.76,70.00,7.31,6.49,3.00,44.00,60.00
17.00,1.03,64.00,4.58,2.31,2.00,31.00,58.00
15.00,2.52,30.00,2.34,3.76,2.00,49.00,75.00
14.00,4.23,21.00,3.78,1.44,3.00,36.00,80.00
14.00,7.48,23.00,5.46,5.90,1.00,48.00,91.00
16.00,3.83,49.00,6.98,3.29,1.00,48.00,83.00
15.00,7.33,59.00,2.88,1.84,4.00,45.00,52.00
14.00,7.37,23.00,7.65,4.88,4.00,31.00,73.00
17.00,4.20,34.00,3.22,2.23,2.00,36.00,92.00
16.00,6.24,56.00,3.61,2.58,2.00,40.00,90.00
17.00,2.73,32.00,6.56,2.61,3.00,48.00,50.00
17.00,6.34,53.00,5.88,3.11,4.00,34.00,47.00
16.00,6.65,22.00,1.18,3.43,1.00,35.00,93.00
17.00,7.79,39.00,6.89,5.98,2.00,45.00,56.00
17.00,6.53,25.00,6.88,7.73,1.00,34.00,68.00
17.00,5.35,75.00,1.07,1.57,1.00,37.00,48.00
17.00,1.35,40.00,6.65,7.05,3.00,35.00,93.00
15.00,5.19,26.00,1.73,6.01,2.00,39.00,57.00
14.00,2.81,64.00,5.64,2.45,2.00,30.00,86.00
15.00,3.67,45.00,4.61,2.77,1.00,30.00,52.00
15.00,5.16,61.00,1.59,7.70,4.00,47.00,62.00
15.00,2.78,48.00,5.93,7.04,1.00,32.00,88.00
14.00,1.00,72.00,6.16,4.20,3.00,46.00,54.00
14.00,2.44,37.00,1.55,2.75,2.00,40.00,64.00
16.00,3.63,21.00,7.02,7.28,1.00,37.00,57.00
17.00,4.50,44.00,1.07,5.63,4.00,30.00,92.00
16.00,4.06,37.00,4.52,6.47,4.00,45.00,98.00
14.00,3.97,48.00,6.36,1.90,1.00,35.00,81.00
14.00,3.04,45.00,5.92,5.58,2.00,49.00,95.00
14.00,5.73,44.00,7.99,2.07,3.00,36.00,66.00
16.00,5.13,56.00,5.84,4.26,4.00,30.00,97.00
16.00,6.97,24.00,4.43,7.55,2.00,35.00,93.00
16.00,1.04,58.00,4.91,2.71,2.00,35.00,80.00
17.00,1.58,20.00,3.07,7.87,3.00,33.00,71.00
17.00,4.62,32.00,1.46,4.09,3.00,43.00,65.00
17.00,2.91,64.00,7.40,6.39,3.00,34.00,71.00
17.00,4.75,61.00,4.20,1.44,2.00,45.00,48.00
17.00,1.82,30.00,2.16,5.26,3.00,40.00,93.00
15.00,6.69,51.00,7.16,7.19,2.00,34.00,74.00
17.00,7.44,26.00,5.10,3.10,2.00,43.00,79.00
15.00,7.95,45.00,1.90,7.90,1.00,35.00,86.00
14.00,2.69,50.00,3.53,2.52,3.00,30.00,66.00
15.00,6.14,67.00,7.82,3.04,4.00,38.00,75.00
15.00,1.35,25.00,2.42,7.82,3.00,39.00,72.00
16.00,3.01,25.00,5.85,3.81,3.00,32.00,86.00
16.00,6.73,49.00,1.32,7.04,1.00,40.00,60.00
17.00,4.21,64.00,3.29,2.10,4.00,40.00,70.00
16.00,3.90,77.00,1.07,6.73,3.00,44.00,72.00
17.00,2.87,23.00,4.77,3.50,4.00,42.00,80.00
16.00,1.99,68.00,7.95,7.95,1.00,34.00,92.00
14.00,5.95,78.00,2.18,3.94,1.00,41.00,57.00
14.00,3.90,27.00,6.40,7.10,1.00,48.00,80.00
16.00,4.27,54.00,7.33,4.39,4.00,39.00,84.00
17.00,3.74,78.00,4.46,1.33,2.00,35.00,88.00
15.00,3.20,24.00,5.61,4.51,4.00,46.00,62.00
17.00,3.35,69.00,4.41,7.77,2.00,48.00,78.00
17.00,1.51,44.00,2.26,7.37,3.00,46.00,80.00
16.00,5.83,30.00,5.25,4.52,2.00,36.00,81.00
16.00,1.86,47.00,2.37,5.51,3.00,45.00,80.00
17.00,5.24,22.00,7.87,2.05,3.00,36.00,63.00
16.00,7.02,78.00,2.83,3.24,2.00,39.00,70.00
14.00,1.09,30.00,5.69,7.96,1.00,44.00,89.00
15.00,5.63,76.00,3.01,6.44,4.00,36.00,51.00
14.00,2.49,57.00,5.02,5.16,1.00,39.00,79.00
15.00,5.45,29.00,1.91,5.19,2.00,34.00,88.00
17.00,2.81,67.00,3.17,3.39,4.00,36.00,57.00
14.00,1.41,65.00,1.25,1.54,2.00,33.00,69.00
15.00,3.04,39.00,1.72,7.22,3.00,35.00,97.00
17.00,7.85,70.00,4.61,5.57,3.00,36.00,52.00
17.00,3.28,73.00,5.08,6.59,3.00,47.00,94.00
17.00,1.84,68.00,1.02,4.45,3.00,48.00,57.00
14.00,4.52,67.00,2.16,1.31,3.00,48.00,95.00
17.00,4.68,77.00,7.44,4.60,2.00,38.00,96.00
15.00,7.25,33.00,1.64,7.05,4.00,42.00,62.00
15.00,6.45,23.00,7.69,3.02,2.00,33.00,80.00
16.00,1.70,77.00,7.93,6.37,2.00,43.00,75.00
15.00,2.61,55.00,1.77,4.61,3.00,35.00,92.00
17.00,4.69,74.00,7.26,3.68,1.00,48.00,60.00
16.00,6.28,38.00,3.47,6.48,2.00,45.00,62.00
16.00,6.62,41.00,6.03,5.03,4.00,45.00,58.00
16.00,7.26,58.00,5.41,4.69,3.00,39.00,61.00
15.00,1.92,56.00,3.76,4.80,4.00,49.00,57.00
15.00,6.56,71.00,7.72,5.80,2.00,44.00,98.00
17.00,6.16,39.00,3.58,2.19,3.00,33.00,56.00
15.00,2.83,56.00,5.87,5.48,3.00,32.00,55.00
14.00,6.18,34.00,5.78,6.79,2.00,49.00,90.00
